,Text, predicted sentiment
18,"@tapanabrol, a practising neurologist from #NewYorkCity wants to speak on a very crucial topic,  #vaccine.  Lets listen on what does he says. #VaccinesWork #COVID19 #NeurologyRF #Doctor #hospitals #healthcare #realheroes ",0
19,"After 5 months of heavy usage, this 20 baht do it ourselves, still function, there also are YouTube Thai instruction mask making, M of Interior sponsored workshop in every district, we may not be top industrial countries in the world, but we find our #Covid19 solution #Thailand  ",1
20,@SazeracNELA @JoshNBCNews Ah!  But he has.  Maybe this #Covid19 thing is not what it's cracked up to be?  #TechnicallyObese #SeventyYearOld #RecoversFromCovid19 in #Just48Hours!  #KillerDiseaseHuff!  #Coronavirus #Lockdown rules serve #AHiddenAgenda!,1
21,"To be honest there is nothing funny about anyone over ythe age of 70 getting #COVID19 and it shows the level of inhumanity from such tolerant and welcoming people who seem to be on the wrong side of overthrowing fascism!!!! Stop telling us what fascism is and stop being IT!!!""! ",0
22,The unbelievable egomania of these people is staggering.  What an absolute selfish prick this fuckin' guy is.  #selfishprick #BillBarr #COVID19 ,0
23,"Each week. Nearly 265 Million Customers Visit Walmart. 37 Million a Day Nationwide, Yeah I Believe Its Safe to Vote At the Polls!   #COVID19",1
24,"#Odisha: 15 more patients succumb to #COVID19, death toll crosses 900-mark ",0
25,"People working in Tech are lucky in the current situation. If they work in a big-budget company, they have moderate (only moderate) amount of job security. Counterparts in other sectors, not lucky More to be expected from Covid-19?  #COVID19 #CoronaVirus #technology #jobs",1
26,@Out5p0ken @IvankaTrump And in the middle of it... I imagine it's a doodle... Trump  Putin... Over and over!  Trump  Putin Trump  Putin Trump  Putin Trump  Putin Trump  Putin #TrumpHasCovid #CovidCaughtTrump #LindseyMustGo #trump #COVID19 ,0
27,"#Delhi: Candidates arrive at an examination centre to write UPSC civil services preliminary examination, 2020 amid #COVID19 pandemic outbreak.  A candidate, says, ""I used public transport to reach the centre. It was not safe, but what can I do? I had to appear in the exam."" ",1
28,Why is he so sure? Three possibilities: 1. He is from the future 2. He can control the results 3. He doesnt know what hes talking about #trump #Trump2020 #TrumpPence2020LandSlide #TrumpPence #COVID19 #coronavirus ,0
29,"@globaltimesnews #COVID19 #coronavirus #ChinaVirus not imported cases you need to report correctly mate. It is Returned Product. , hope you know the meaning of it.",1
30,"Due to #COVID19, many airplanes are grounded, and have become a resort for birds ",0
31,"God help us if @realDonaldTrump experiences a mild brush with #COVID19 (because, unlike everyone else, he has access to experimental therapeutics) and emerges believing it is just like flu for tough guys like him... and he becomes an even a worse manager of the pandemic!!! ",0
32,"Dont fall for this shit! @realDonaldTrump getting COVID now, all if a sudden,  is REAL CONVENIENT! A month before elections and they all get it??? FAKE NEWS! As he would say! This was all planned! #Election2020 #ElectionDay #COVID19 #CovidCaughtTrump",1
33,"Our farmers are protesting against @BJP4India Govt's 3 draconian bills &amp; to strengthen their cause, Sh.@RahulGandhi will lead the 2nd day of #KhetiBachao Yatra on 5th Oct, in Sangrur at 10 am. You all are requested to come out in support, keeping the #Covid19 precautions in mind. ",0
34,"Stop saying Global Pandemic! It's tautology. By its very definition, a pandemic needs to be global. #coronavirus #COVID19",0
35,@kumailn #Trump was fairly sweaty at the #debates. He didnt test prior to them claiming he was late. How long would it take for #JoeBiden or #ChrisWallace to test positive? Next week should be even more interesting. #COVID19,0
36,Greek doctors stage 2km fun run to debunk #COVID19 mask myth ,1
37,What an outstanding interview @MartinLandray ... so important to explain with clarity benefits of RCTs and why we do them but not losing sight of the individual human tragedies behind each #COVID19 death  ,0
38,Ok. Well #StatenIsland can fuck off too. Enjoy your #COVID19 out there!! ,0
39,"October 3, 2020  Life has definitely change  #LosAngeles #NewYork #Italia #China #Espaa #Japan #SouthKorea #California #Florida #Chicago #India #Brazil #Mexico #Argentina    #CoronavirusOutbreak  #COVID19 #coronavirus #Pomona #Video    ",0
40,A Message From Donald Trump To His Public From Walter Reed Hospital/Covid-19    #donaldtrump #donaldtrumphascovid #maga #mikepence #WalterReedMedicalCenter #coronavirus #election2020  #CovidCaughtTrump #COVID19,0
41,"As President Trump remains hospitalized at Walter Reed National Military Medical Center after testing positive for the coronavirus, one doctor is at the center of his treatment: Sean P. Conley, the White House physician. #coronavirus #COVID19 @nytimes   ",0
42,"#Odisha reported 3,326 new #COVID19 cases,  4,066 recoveries .Taking total cases to 2,32,713 including 1,98,194 recoveries,33,559 active cases and Cumulative Tested: 34,40,835 @IPR_Odisha",0
43,"On Monday's Money Talk; Global markets are expected to experience volatile trading when they reopen on Monday morning in Asia, following the news that President Trump was taken to hospital after testing positive for #COVID19. 1/17",0
44,"India passes grim milestone of 100,000 COVID-19 deaths #COVID19 ",1
45,"@JoeBiden @KamalaHarris @QuancyClayborne @DavidASifuentes @MBenDavid2020 @QuancyClayborne @WHO #Trump congregates people in large groups encouraging no ##worry, no #masks. Now Trump and his #GOP friends all have #COVID19. Is Trump our Vote2020 leader? #NoWay #VoteBidenHarris2020",0
46,"@StevenJMiles  Spot on, Dr Miles, calling Trump out on his own 'cures' for #Covid19!  He also said, ""It will just disappear""! What, after  #200KDeadAmericans &amp; counting?!  Trump spotted at Walter Reed earlier today  Meme credit:  ",0
47,@GovMikeDeWine @LtGovHusted Well done. Just want to get one thing straight. The day of pray wasnt necessary for the &gt; 200k American people who have died. But it was necessary when the man who let those Americans die got #COVID19? Am I clear? Get on with your hypocrisy. #BidenHarris2020,1
48,"3,326 new #COVID19 cases, 4,066 recoveries and 15 deaths reported in Odisha till October 3. The total number of cases rise to 2,32,713 including 1,98,194 recoveries, 33,559 active cases and 907 deaths: State Health Department, Government of Odisha",0
49,"Odisha: Khurda District reports 638 new #COVID19 cases Today; Tally mounts to39,558 ",1
50,Why media chose experts who only promote it but not the plenty of experts who support the opposite (which is also backed up by science)? Why the World Health Organisation refuses to follow science? When will we find out really is COVID-19/death? #COVID19 #COVID1984 ,0
51,Quote of the day  #shashidreamfoundation #quotes #SundayThoughts #sundayvibes #SundayFunday #SundayMotivation #SundaySpecial #COVID19 #edutwitter #BackToSchool #children #education #student #socialwork ,0
52,What the heck are you doing .@ChuckGrassley ? Take the darn #COVID19 test! ,0
53,@Charles28973069 Ignorant? @donlemon wears a mask and does not have #COVID19   No mask  at indoor reception   #GOPSuperSpreaders  ,0
54,#COVID19 is real #WearAMask ,0
55,"@thehill GMaFB, really a ""warrior""? He's ""surrendered"" to and  been a #COVID19's best co-conspirator   His ""herd mentality"" in action has made our country the world's laughingstock",1
56,"India passes grim milestone of 100,000 COVID-19 deaths #COVID19 ",1
57,@MayorOfLA Which flu shot? Covering what strain? Arent we more concerned about Rona? Why dont you just say what you want to say. And thats Just Get In The Boxcar!.  #GovernmentControl #COVID19,1
58,@CarolMariani1 Read tonight that this source is Chief of Staff! Surely hes not contradicting Presidents medical team.. surely? #COVID19,0
59,"9. #Nevada: 81,708 cases &amp; 1,620 deaths. 4.3% increase within 7 days. #NewHampshire: 8,597 cases &amp; 442 deaths. 5.9% increase within 7 days. #NewJersey: 207,576 cases &amp;  16,135 deaths. 2.3% increase within 7 days. #covid19 #pandemic.",0
60,-  Only 6 % of doctors today are happy with their jobs...  #fact #COVID19 #SundayThoughts,0
61,@briantylercohen @WRBethesda why isn't a patient with #COVID19 in your hospital required to be masked? @msbc @JoyAnnReid @AC360 @kaitlancollins,1
62,"It is well-known that fever during #covid19 comes and goes ( From the last updates, it seems to me that we have learned little about Trump's prospects - but a lot about whether we can trust those updates.",0
63,We are waiting for the decision from @DrRPNishank. We need our colleges to be opened up.  #reopen_ug_college #BREAKING #COVID19 #India #Indians @EduMinOfIndia #education #reopencollege #students @PMOIndia,0
64,"Its easy for these clowns to assault and bully someone who wont fight back!!! Such a real man with his weak punch, using brass knuckles for the assist! Complete trash  #DentonTexas #TrumpsAmeriKKKa #RacismMustFall #VoteHimOut #VOTE #COVID19 #denton ",1
65,Online MBBS classes in Indian Medical colleges allowed during #COVID19 pandemic: NMC issues clarification #MedStudentTwitter ,0
66,Timeline of the #NFL #COVID19 outbreak. ,0
67,"@AndrewFeinberg @realDonaldTrump If these sort of pictures are being released by the WH right now, I am convinced that @realDonaldTrump did NOT test positive for #COVID19 #TrumpHasCovid #CovidCaughtTrump",1
68,"#Worldometer #UK data was updated to 480,017 cases ( from yesterday), and 42317  death ( from yesterday)   #covid19 #Bot",0
69,"#Worldometer #Italy data was updated to 322,751 cases ( from yesterday), and 35968  death ( from yesterday)  #Worldometer #Germany data was updated to 300,028 cases ( from yesterday), and 9597  death ( from yesterday)   #covid19 #Bot",0
70,"#Worldometer #Spain data was updated to 810,807 cases ( from yesterday), and 32086  death ( from yesterday)  #Worldometer #France data was updated to 606,625 cases ( from yesterday), and 32198  death ( from yesterday)   #covid19 #Bot",0
71,"Very high levels of TESTING lead to early identification, prompt isolation &amp; effective treatment of #COVID19 cases.  These have eventually resulted in a sustained low Fatality Rate. @MIB_India @PIB_India @RobRanchi @prdjharkhand @rnuddkranchi @airnews_ranchi ",0
72,"#Worldometer #Colombia data was updated to 848,147 cases ( from yesterday), and 26556  death ( from yesterday)  #Worldometer #Peru data was updated to 824,985 cases ( from yesterday), and 32665  death ( from yesterday)   #covid19 #Bot",0
73,"#Worldometer #India data was updated to 6,549,373 cases (+1960 from yesterday), and 101812  death ( from yesterday)  #Worldometer #Russia data was updated to 1,204,502 cases ( from yesterday), and 21251  death ( from yesterday)   #covid19 #Bot",0
74,"#Worldometer #Israel data was updated to 264,443 cases ( from yesterday), and 1682  death ( from yesterday)  #Worldometer #Brazil data was updated to 4,906,833 cases ( from yesterday), and 146011  death ( from yesterday)   #covid19 #Bot",0
75,Why are so many conservatives getting COVID?            Please Retweet   #COVID19  #MAGA2020,1
76,"@RogowskiBubba Hi! the unroll you asked for: @RogowskiBubba: #COVID19 lockdown is NOT about health  Sugary drink consumption claimed 40,000 deaths annually in  Talk to you soon. ",0
77,There is too much negativity in the world. Staying positive is the only investment left to stay sane  #negativity #COVID19 #politics,0
78,@HayesBrown @KatzOnEarth Same clothes as yesterday? Nurse says they would have taken away all his #COVID19  infected clothes  &amp; given him HOSPITAL GEAR like every other tRUmpVirus patient  Staged yesterday in WH  #TrumpVirusDeathToll210K  #PutinsGOP COMPLICIT,1
79,I'm with you @glennkirschner2 I haven't read anything or watched anyone with any true clout say he's ill. With all the fake photos going around it sure looks as if @realDonaldTrump is faking being sick w/ #COVID19  How disrespectful to the over 209K dead ,1
80,Being Negative is the only positive thing that you hear these days. #COVID19,0
81,#COVID19: Status of indigenous vaccine development and and production. ,0
82,"Cristiano Ronaldo and Other Juventus Players in Isolation After Two COVID-19 Positive Cases, Serie A 202021 Match Against Napoli Doubtful  #CristianoRonaldo I #Juventus I #JuveNapoli I #Napoli I #COVID19  ",0
83,#Odisha #COVID19 deaths crossed pass 900-mark with 15 more deaths today. Total as on date 907.  @NewIndianXpress @XpressOdisha,0
84,"Alexander Haig Rises From The Grave: ""I'm The President.""  #DonaldTrump #COVID19 #POTUS #HuffGlu #HuffingluePost ",0
85,"@colmanos @PaulDeighano @rtenews And idiots mass gathering like this, create the figures we saw last night. Irresponsible, selfish and intolerable. #covid19 #SocialDistance #staysafe",0
86,#Odisha reports 3326 new #COVID19 cases in the past 24 hours  In quarantine-1945 new cases Local contacts-1381 new cases  - State I&amp;PR dept ,1
87,"#CoronaVirusUpdates #COVID19 #India Tracker (As on 4 October, 2020, 08:00 AM) Confirmed cases: 65,49,373 Recovered: 55,09,966 (84.1%) Active cases: 9,37,625 (14.3%) Deaths: 1,01,782 (1.6%) ",0
88,Emirates introduces self check-in kiosk in Dubai airport   #Emirates #kiosk #Dubai #Covid19,0
89,"@yvonnewingett Yvonne how did such a great reporter such as you allow yourself to fall into the Annikan Skywalker lava pit? Let me tell you how #COVID19 got here. Migrating bats out of Wuhan, then onto 747's from Beijing. Next question? I know you want Trump to die from this. I don't.",0
90,Revelation of vast 'consulting fees' threatens damage for Ivanka Trump SEE MORE HERE ==&gt;   #proudboys #donaldtrump #covid19 #covid #coronavirus #trump #trump2020 #maga #makeamericagreatagain #trumprally ,0
91,"Old: NBA player benefits from questionable foul call, misses free throws - ball dont lie.  2020: @GOP breaks own promise not to confirm @Scotus nominee during election year, holds celebration of their dishonesty that turns into #COVID19 super spreader - COVID dont lie.",0
92,"#IndiaFightsCorona  India has exponentially scaled up its TESTING capacity from one in January to more than 7.7 cr in October.  With progressively falling Positivity Rate, testing has worked as a highly effective tool to limit the spread of #COVID19 infection.  @MIB_India ",1
93,@TRAI should have to stop the #COVID19 #advertisement It's taking 1minute extra for making a #success call. For emergency it's very #bad to us. Also some #Telecom networks are running their own Advertisement. Notice to Please stop the ad @Airtel_Presence @VodafoneIN @reliancejio,0
94,"Same as #health, #education values. Physical class is essential rather than online class.  #BREAKING #India #COVID19 #education #reopencollege #students @EduMinOfIndia",0
95,@NathanBrandWA @LindseyGrahamSC Be clear @harrisonjaime is the best choice. Lindsey &amp; GOP follow Trump &amp; a failed #Covid19 operating plan.  @RVAT2020 @ProjectLincoln @DefendDemocracy Use Lindseys words against him-vote better.  @postandcourier ,1
96,The greatness of a nation and its moral progress can be judged by the way its animals are treated. #WorldAnimalDay #pet #dog #animals #YesYouCanSaveLife #ArpanBloodCentre #SavingLife #BloodDonation #BloodDonor  #Nashik  #IndiaFightsCorona #Convalescent #plasma #health #COVID19 ,0
97,"@stonecold2050 Many Resistors guessed @realDonaldTrump faked #COVID19 to get sympathy vote &amp; ""Miraculously"" cure from antibody cocktail #Trump will profit from. #FakePresident #EmolumentClause @BrunosWahine ",1
98,#covid19 #WakeUpEverybody WATCH:    Virginia Health Commissioner says hell mandate a COVID-19 vaccine.  Nashville city councilwoman recommends attempted murder charges for some not wearing face masks.,1
99,Inside one celebration that helped spread the #covid19 virus across the U.S. government  ,0
100,Deputy director of the Narcotics Control Bureau who questioned Deepika Padukone in drugs case tests #COVID19 positive  ,0
101,@Karimi_Karen @kay_judie @PhillipMacloud @Kiplimohkemboi @mungalambuvi @iamjeffmote @NikiMags @Bug_Food @ckfoot #Londonmarathon2020 #COVID19  Mind the language...fam..these Trump memes/vids..aki watu.. ,0
102,@IvankaTrump @realDonaldTrump Hows that going for you? #COVID19 #TrumpCovid #VoteBlueToEndThisNightmare,0
103,Drawing the Line in the Sand -  #PMP #PPM #projectmanager #Agile #cybersecurity #planning #ai #SAFe #coronavirus #virtual #mindmapping #remote #COVID19 #growthacademy ,0
104,"#Cambodia continues to learn and adjust its #preparedness and response measures for #COVID19 and beyond, based on important newly emerging challenges. @UNCambodia ",0
105,"Chinese officials are reportedly encouraging citizens to get out and adventure in a revenge travel pitch to revive tourism and boost the economy, following months of lockdowns and restrictions in the fight against #COVID19.  ",1
106,Bagmati Province Assembly member Shashi Jung Thapa has contracted the coronavirus.  #Khabarhub #Bagmati #COVID19,0
107,@IvankaTrump Whats going on? Are you trying to get sympathy votes? This is really weird. No normal person posts photos on Twitter when their dad is sick from a deadly virus. What gives? @DonaldJTrumpJr @EricTrump @FLOTUS #COVID19 #FakeNews,0
108," 7,759 days in a row. Boston Strong  #BostonStrong #bostonmarathon2020 #MentalHealthAwareness #SuicidePrevention #depression #PTSD #anxietydisorder #COVID19 #isolation #running @TheMightySite @runnersworld @NAMINTX @saucony @BostonGlobe @FOXSports",1
109,There is no place than... 127.0.0.1  #COVID19 #DDoS #networking ,0
110,Hilarious what an own goal their rushing through of #AmyConeyBarrett has turned out to be. What a bunch of #COVIDIOTS. #COVID19 ,0
111,"Sign the petition below to support opening schools safely without the fear of getting children and teachers infected. #covid19 #Netherlands  Even if you dont have kids, getting the infection rate lowers is better for the society. ",1
112,"@jpierni ***Now***, #GOP, are you getting a clue about how #COVID19, which may be seen by y'all as a ""minor"" ailment, in fact brings with it a world of unforeseen consequences, and none of you can do diddly about it. Wear your fu**ing masks and follow the rules like the rest of us.",0
113,Former Congress president #RahulGandhi and party general secretary #PriyankaGandhiVadras visit to the family of the #Hathras rape victim seeks to make multiple political points in times of the #COVID19 pandemic.   ,0
114,@FaheemYounus Athletes/ sportspersons should delay returning to their daily sports routine after #covid19 recovery till we learn more.  We MAY have to do advanced cardiac imaging to check cardiac tissue in those who are keen to get back &amp; advise longer rest if damaged.  ,0
115,Whatever will the US do without a President waging war inside the borders? #Biden2020 #BidenHarrisLandslide2020 #COVID19 #COVIDIDIOTS,0
116,"Something tells me Trump isnt sick, but hell somehow be given this magic medication (that doesnt do anything) and hell make out its the cure for #covid19 and get himself re-elected because he found the cure ",1
117,"Take their name , number n Family members details if someone found #COVID19 positive don't do their treatment. #Maharashtra They r spreaders in near time. ",0
118,"It's NOT just the White House . . .  . . .  Friday's nationwide #COVID19 case count wasthe highest daily total in nearly 2 months.  Uncontrolled spread with 500 - 1,000 new deaths/day.  . .    Mask Wearing Waaaaay Too Low!!!  ",0
119,"Twitter has descended into chaos since President Donald Trump, who had constantly downplayed the coronavirus outbreak, tested positive for COVID-19.  Read more:    #DonaldTrump #Twitter #COVID19",0
120,CAAB revises restriction on passenger carriage for int'l flights   #CAAB #COVID19 #Bangladesh,0
121,"QC Ministry of Education turning schools into ""teacher meat grinders"".  This is irresponsible public policy, Mr. @francoislegault and Mr. @jfrobergeQc.  #qcpoli #Covid19 #covid19Qc #COVID19quebec  ",0
122,"Everyone is commenting how pale #Trump looks to his normal self. Question: How the hell can #COVID19 make someone lose their cheap spray on tan? Did they scrub it off him? Make up to make him look sick? Oh, Trump IS invested in #Regeneron and #Gilead the drug makers he is on. ",0
123,"With #Unlock taking effect, #physicaldistancseriously follow these measures so that the spike in cases can be controlled along with other precautions is our only chance of preventing infection! Let's all.  #daikinoman #muscatelectronics #Oman #COVID19 ",0
124,"@IvankaTrump Your father is relentless at prolonging the #COVID19 pandemic, relentless at inaction towards addressing #COVID19-#TrumpDeathToll210K-in case you need reminding, relentless at not paying taxes but wasting my tax$ with copter ride to #WalterReed, relentless at being anti science",0
125,I request @eduminofindia to make decisions regarding opening up of #colleges and #universities as fast as possible.  Please do the same.  #BREAKING #India #COVID19 #education #reopencollege #students @PMOIndia @DrRPNishank,0
126,Only you can overcome Corona by keeping yourself safe. .  Wear a Mask  Use Sanitizer  Wash your Hands Social Distancing . #JaipurPolice #TeamJaipurPolice #BeSafe #WearAMask #UseSanitizer #WashYourHands #SocialDistancing #COVID19 #Corona ,0
127,Trump's personal assistants tested positive for #COVID19  #TrumpIsNotWell ,0
128,I swear this whole thing is a PR stunt.   #TrumpHasCovid #CovidCaughtTrump #COVID19,1
129,"*Video Books*, for anyone that wants to *he-p himself.*  The focus will be; *Always keep your Ventilators* clean.  So, I'd show my Buyers, how to work with their bodies' *Ventilators*.  Don't be carried away with the Face mask instructions.  It can't do the job alone.  #COVID19",0
130,"#BREAKING: Per @ProFootballTalk, multiple coaches are pushing for a pause on the 2020 @NFL season due to the #COVID19 positive tests over the past week, and suggest a reconfiguring to a 12-game season with teams put up in hotels for the remaining 9 games #NFL #NFLTwitter #NFLnews ",0
131,"3326 Covid Positives In Odisha, Tally Rises To 2.3 Lakh #COVID19 #Odisha #kalingatv ",1
132,Young Turks | #Byjus - #WhiteHatJr Deal | 50% revenue now comes from international market post deal.  #lockdown net effect has been neutral for the business says @realkaranbajaj of @whitehatjunior to @ShereenBhan   #COVID19 #edtech #Coding4Kids #Coding ,1
133,15 more succumb to #COVID19 in #Odisha in last 24 hours. Toll rises to 907.,1
134,Getting #Vaccines: Govt working on a $550m scheme #COVID19   ,1
135,"@FLOTUS We wish you a speedy recovery, but make no mistake: we are not sending #love. #COVID19 #CovidTrump #VoteBlueToEndThisNightmare",1
136,@IvankaTrump So you exposed the photographer to #COVID19,1
137,@DebH5090 @pgbage23 @AngrierWHStaff @JulieLKenward Especially a #Covid19 patient who could crash at anytime. Its absurd.,0
138,"Everything Trump says is a lie.  Everything he does is a con.  Every move he makes is always in his best self interest.   He brought #COVID19 upon himself.   And even from the hospital, he continues the con with staged photos.  He  deserves  NO  sympathy ",1
139,@NammaBESCOM In the context of digital business surviving Post #COVID19 it would help to give us a number to contact Besscom,0
140,"From morning of 03.10.2020 to morning of 04.10.2020, 05 cases regd by #OdishaPolice for violation of guidelines on #COVID19.",1
141,@DrEricDing @j_g_allen Ladies &amp; Germs .. please take your seats ... #Covid19,0
142,@GeorgWebb Last Presidential debate preparation.  Congresswoman and Speaker of the House Nancy Pelosi recently said her Democrats have arrows in our quiver yet to deploy.  Do you see them? #COVID19  #CovidCaughtTrump #aerosolized ,0
143,How these 7 #leaders are countering #Covid19 crisis. My 'Lockdown Leadership' interview series:  #LockdownLeadershipInterviews  #HRTech #startup #fintech #tech #innovation #lockdownleadership #leadership #climatechange #water #energyefficiency #sanitation,0
144,Check out what I just listed on Mercari. Tap the link to sign up and get up to $30 off. #FreddyKrueger #COVID19 #mercari #ebay #Entrepreneur  ,1
145,Will see what #COVID19 has to say in the next 10 days... either they will get better or the #CoronaVirus wins. ,1
146,"@JedMcintryre @Angrybudgie @DawsonEJ No way I live in fear. Just completed swimming my laps &amp; a 5km walk with a visit to the wet markets, coffee shop &amp; 2 supermarkets. Fear begins when someone in their 70s is careless enough to contract a #COVID19 infection. Where I live there was 1 community case today ie. 1:5.9m",1
147,"When Trump announced he had #COVID19, my 1st reaction was, ""great, something else they're going to try to blame on protesters... Just like the fires.""  Bet @TuckerCarlson was just waiting for @DonaldJTrumpJr to claim ANTIFA infected his daddy at a rally ",1
148,"White House doctor, #SeanConley, says President #DonaldTrump is not yet out of danger but that he's made substantial progress in his recovery process from #COVID19. Doctor Conley says the President is free of fever and doesn't need extra oxygen to help his breathing. #SABCNews",1
149,"White House doctor, #SeanConley, says President #DonaldTrump is not yet out of danger but that he's made substantial progress in his recovery process from #COVID19. Doctor Conley says the President is free of fever and doesn't need extra oxygen to help his breathing. #SABCNews",1
150,Will I ever see you face to face? @paoli_d ma'am Coronavirus is on the rise. When will the coronavirus leave? #COVID19 #CoronavirusInIndia #coronavirus #COVID19 #COVID19India,1
151,@melend96023775 @morethanmySLE @joncoopertweets @DanSullivan_AK Thats a distinct possibility! The latest information on #COVID19 in Alaska. #TrumpVirusSpreader ,0
152,"Upcoming open book #examinations (for units IG1/IGC1): Wednesday, 28 October 2020 | Wednesday, 2 December 2020   For further information please visit:    #health #safety #healthandsafety #hse #Staysafe #Covid19 #assessment #IGC #competency #TWI645 ",0
153,So this dude trump has #COVID19  lol.. looks like Biden might win by default ... o0.(Did I just text that out loud!),0
154,"75,829 new corona cases in India, tally crosses 65-lakh; 101,782 COVID deaths so far   #COVID19 #CoronaVirusUpdates   ",1
155,I can't wrap my mind around all of this..... If Trump would have just worn a mask he could have had half-priced spray tans.  #WearAMask #COVID19 #coronavirus ,0
156,@Iowa @Vote @GreenfieldIowa  #VoteBlueDownBallot #BidenHarrisLandslide2020  Joni Ernst is a puppet to #Trump &amp; stood by him when he started trade wars with our biggest export customers &amp; the ethanol industry while prices plummeted &amp; refused to pass #HerosAct #Covid19 solution ,0
157,Can you find your country?  #COVID19 ,0
158,During #COVID19 we have become experts at the #ArtOfDoingNothing. Mine is 1) Watching travel shows &amp; making list of where i will go after this is over (Budget estimate already  5 Mil) @UshyMohanDas @filterflatwhite @harshmadhusudan @mauseen_khan @MalikAshutosh  Add yours &amp; tag,1
159,"""DRAWING A MASK FOR COVID WARRIORS."" Follow  @jalal_art  #COVID19 #COVID__19 #Pencildrawing  #pencil #pencilsketch #art #art #artwork #arthub #pencilwork ",0
160,"@LindseyGrahamSC According to Johns Hopkins,  the number of deaths associated with #COVID19 (the deadliest public health crisis since the 1918 influenza pandemic) has passed 200,000 MAKING THE #UnitedStates THE WORST AFFECTED COUNTRY BY FAR.  ",0
161,"@thesundaytimes @realDonaldTrump is getting better.  It must be really irritating 4 you when your brief is to pile on the fear of the ""killer disease"" ready for the next #PlannedLockdown in ...  Tee hee!  #Coronavirus #Covid19 #WhoAreTheRealCovidiotsSheeple? #Lockdown #Plandemic #GatesFoundation",0
162,@DanRather Agree. I dont think he will have a Scrooge awakening. Trump has no empathy so he will turn this into some sort of blaming the people who died as not tough enough or as tough as he is. #COVID19,0
163,COVID-19 UPDATE: 03/10/2020. There are now 59287 reported. cases of #COVID19  in Nigeria No. of New cases: 160. No. of Discharged cases: 50718. No. of Deaths: 1113. #StaySafe #StaySafeNigeria #MaskOn #COVID19Nigeria ,0
164,Attn #Wisconsin. @SenRonJohnson thought going to an #Oktoberfest fundraiser while actively infected with #COVID19 was more important than staying in #quarantine and protecting his constituents. These behaviors are why we are still stuck in a #pandemic. ,0
165,#COVID19 Shizune sure knows what's up. ,0
166,"You would think, seeing as how he's basically a walking, talking comorbidity, @GovChristie would've been more careful when it comes to #COVID19..",1
167,"Economy is down, #COVID19 is spreading. Doom and gloom? Wrong! History teaches us that recovery after pandemics is fast and furious. Well, unless government interferes with new trade wars and other BS.",0
168,"#SouthCarolinas #LindseyGraham, #JamieHarrison square off in first #SenateDebate over #COVID19, #SupremeCourt ",0
169,I feel like covid precautionary hospitalization is 2020s version of celebrity hospitalized for exhaustion.  #MedTwitter #COVID19 #ChrisChristie #donaldtrumphasCOVID #DonaldTrump #WearAMask #WashYourHands #SocialDistance ,1
170,@DPJHodges GOOD NEWS! We are waiting for this #ClassActionLawSuit to jump out of the starting blocks &amp; slam all the globalists in the place that hurts the most.... THEIR POCKETS. This #COVID19 &amp; #PCRfraud ends NOW. ,1
171,@SCGOP @LindseyGrahamSC Uh they may hate your policies and support of the #SuperSpreaderTrump and his ineptitude in handling #Covid19 causing the #TrumpPandemic #WorstPresidentEver #MalignantNarcissisticSociopath,1
